Professor,Course
"Fernandez, Christine",CELE 615 | Psychiatry Supplemental Clinic
"Fernandez, Christine",CELE 615 | Research- Psychiatry
"Fernandez, Christine",CELE 615 | Special Topics- Psychiatry
"Fernandez, Christine",CELE 615 | Women&#39;s Mental Health
"Fernandez, Christine",CELE 616 | Chicago Radiology Elective Clerkship
"Fernandez, Christine",CELE 616 | Diagnostic Radiology
"Fernandez, Christine",CELE 616 | Fundamentals of Radiology
"Fernandez, Christine",CELE 616 | Interventional Radiology
"Fernandez, Christine",CELE 616 | Radiation Oncology
"Fernandez, Christine",CELE 616 | Radiology
"Fernandez, Christine",CELE 616 | Radiology - Online
"Fernandez, Christine",CELE 616 | Radiology Oncology
"Fernandez, Christine",CELE 616 | Radiology in Practice
"Fernandez, Christine",CELE 616 | Research Radiology
"Fernandez, Christine",CELE 616 | Research- Radiology
"Fernandez, Christine",CELE 616 | Special Topics Radiology
"Fernandez, Christine",CELE 616 | Special Topics- Radiology
"Fernandez, Christine",CELE 617 | Physical Medicine &amp; Rehab
"Fernandez, Christine",CELE 617 | Research- Rehab Medicine
"Fernandez, Christine",CELE 617 | Research-Rehab Medicine
"Fernandez, Christine",CELE 617 | Special Topics- Rehab Medicine
"Fernandez, Christine",CELE 617 | Special Topics-Rehab Medicine
"Fernandez, Christine",CELE 618 | Adv Anatomy &amp; Surgery Intensiv
"Fernandez, Christine",CELE 618 | BreastDisease/GynecologcOnclgy
"Fernandez, Christine",CELE 618 | Burn Surgery
"Fernandez, Christine",CELE 618 | CRITICAL CARE-SICU
"Fernandez, Christine",CELE 618 | Cardiothoracic Surgery
"Fernandez, Christine",CELE 618 | Clinical Breast Surgery
"Fernandez, Christine",CELE 618 | Colon &amp; Rectal Surgery
"Fernandez, Christine",CELE 618 | Colon and Rectal Surgery
"Fernandez, Christine",CELE 618 | Int&#39;l Health- Surgery
"Fernandez, Christine",CELE 618 | Int&#39;l Health-Surgery
"Fernandez, Christine",CELE 618 | Min Invasive Laparo&amp;Robo Surg
"Fernandez, Christine",CELE 618 | Organ Transplantation
"Fernandez, Christine",CELE 618 | Pediatric Surgery (Surgery)
"Fernandez, Christine",CELE 618 | Plastic&amp;Reconstructive Surgery
"Fernandez, Christine",CELE 618 | Plastic/Reconstructive Surgery
"Fernandez, Christine",CELE 618 | Research-Surgery
"Fernandez, Christine",CELE 618 | Special Topics-Surgery
"Fernandez, Christine",CELE 618 | Surgery - Online
"Fernandez, Christine",CELE 618 | Surgery Sub-I
"Fernandez, Christine",CELE 618 | Surgery Sub-Internship
"Fernandez, Christine",CELE 618 | Surgery Supplemental Clinical
"Fernandez, Christine",CELE 618 | Surgical Critical Care
"Fernandez, Christine",CELE 618 | Surgical Oncology
"Fernandez, Christine",CELE 618 | Trauma Surgery
"Fernandez, Christine",CELE 618 | Trauma/Critical Care Surgery
"Fernandez, Christine",CELE 618 | Vascular Surgery
"Fernandez, Christine",CELE 618 | Wound Care
"Fernandez, Christine",CELE 619 | Advanced Urology
"Fernandez, Christine",CELE 619 | Chicago Urology Elective Clerkship
"Fernandez, Christine",CELE 619 | Research- Urology
"Fernandez, Christine",CELE 619 | Research-Urology
"Fernandez, Christine",CELE 619 | Special Topics- Urology
"Fernandez, Christine",CELE 619 | Special Topics-Urology
"Fernandez, Christine",CELE 619 | Urology
"Fernandez, Christine",CELE 620 | Biblical Approach-Mental Hlth
"Fernandez, Christine",CELE 620 | Biblical View of Medicine
"Fernandez, Christine",CELE 620 | CLINICIAN EXECUTIVE MED PRGRM
"Fernandez, Christine",CELE 620 | Chicago Medical Education Elective Clerkship
"Fernandez, Christine",CELE 620 | Clinical Med Spanish Intensive
"Fernandez, Christine",CELE 620 | Clinical Medical Spanish
"Fernandez, Christine",CELE 620 | Dev Hippo&amp;Med Eth-Class/Prsnt
"Fernandez, Christine",CELE 620 | Dev Hippoc&amp;Med Eth-Class/Prsnt
"Fernandez, Christine",CELE 620 | Doctoring &amp; Clinical Skills II
"Fernandez, Christine",CELE 620 | Doctoring in Clinical Skills
"Fernandez, Christine",CELE 620 | ECM 3-4: M-4 TEACHING ELECTIVE
"Fernandez, Christine",CELE 620 | ECM M4 Teach Elc-Hospital Prac
"Fernandez, Christine",CELE 620 | ECM M4 TeachElec-Hospital Prac
"Fernandez, Christine",CELE 620 | Ethical Issues-Human Reprodctn
"Fernandez, Christine",CELE 620 | Fundamentals of Clinical Reaso
"Fernandez, Christine",CELE 620 | Global Medicine (GMed)
"Fernandez, Christine",CELE 620 | History of Medicine
"Fernandez, Christine",CELE 620 | History of Women in Medicine
"Fernandez, Christine",CELE 620 | How We Die
"Fernandez, Christine",CELE 620 | Learning to be a Clin Teacher
"Fernandez, Christine",CELE 620 | Lit&amp;Med:Portrait of Physicians
"Fernandez, Christine","CELE 620 | Lit, Med &amp; the Physician Rltns"
"Fernandez, Christine",CELE 620 | M4 Teaching Elective in ECM
"Fernandez, Christine",CELE 620 | Maternal&amp;Child Health in India
"Fernandez, Christine",CELE 620 | Medical Ethics &amp; Society
"Fernandez, Christine",CELE 620 | Medical Ethics and Society
"Fernandez, Christine",CELE 620 | Medical Practice-21st Century
"Fernandez, Christine",CELE 620 | Narrative Medicine - Online
"Fernandez, Christine",CELE 620 | Obesity in Culture
"Fernandez, Christine",CELE 620 | Perils of the Normal
"Fernandez, Christine",CELE 620 | Ptnt Safety &amp; Quality Outcomes
"Fernandez, Christine",CELE 620 | Research- Medical Education
"Fernandez, Christine",CELE 620 | Research-Medical Education
"Fernandez, Christine",CELE 620 | Senior Forum
"Fernandez, Christine",CELE 620 | Service Learning Program
"Fernandez, Christine",CELE 620 | Sleep Medicine
"Fernandez, Christine",CELE 620 | Special Topics Instructor
"Fernandez, Christine",CELE 620 | Special Topics- Medical Ed
"Fernandez, Christine",CELE 620 | Special Topics-Medical Ed
"Fernandez, Christine",CELE 620 | Study Disabilities-Modrn Wrld
"Fernandez, Christine",CELE 620 | Urban Medicine (UMed)
"Fernandez, Christine",CLER 601 | Chicago Obstetrics and Gynecology Clerkship
"Fernandez, Christine",CLER 602 | Chicago Psychiatry Clerkship
"Fernandez, Christine",CLER 603 | Chicago Pediatrics Clerkship
"Fernandez, Christine",CLER 604 | Chicago Surgery Clerkship
"Fernandez, Christine",CLER 605 | Chicago Medicine Clerkship
"Fernandez, Christine",CLER 606 | Chicago Family Medicine Clerkship
"Fernandez, Christine",CLER 608 | Essentials of Clinical Practice and Professionalism - Chicago
"Fernandez, Christine",CLER 610 | Chicago Independent Study
"Fernandez, Christine",CLER 611 | Chicago Fourth Year Elective Clerkships
"Fernandez, Christine",CLER 612 | Medicine Sub-Internship - Chicago
"Fernandez, Christine",CLER 613 | Interdisciplinary Generalist Curriculum Clinical Elective-Chicago
"Fernandez, Christine",CLER 614 | Medical Decision Analysis - Chicago
"Fernandez, Christine",CLER 625 | Pediatric Sub-Internship - Chicago
"Fernandez, Christine",MDC 601 | Block 1: Body Systems and Homeostasis 1
"Fernandez, Christine",MDC 602 | Block 2: Pathogenesis
"Fernandez, Christine",MDC 605 | Block 5: Digestion and Homeostasis 2
"Fernandez, Christine",MDC 606 | Block 6: Brain and Behavior
"Fernandez, Christine",MDC 607 | Block 7: Regulation and Reproduction
"Fernandez, Christine",MDC 611 | Doctoring and Clinical Skills 1
"Fernandez, Christine",MDC 613 | Doctoring Clinical Skills 3
"Fernandez, Christine",MDC 614 | Doctoring and Clinical Skills 4
"Fernandez, Christine",MDC 621 | Synthesis 1-2
"Fernandez, Christine",MDC 623 | Synthesis 5-6
"Fernandez, Christine",MDC 624 | Synthesis 7-8
"Fernandez, Christine",MDC 631 | Medical Colloquia 1
"Fernandez, Christine",MDC 634 | Medical Colloquia 4
"Fernandez, Christine",MDC 641 | Clinical Connections &amp; Comp 1
"Fernandez, Christine",MDC 641 | Clinical Connections &amp; Comp 2
"Fernandez, Christine",MDC 641 | Clinical Connections &amp; Comp 3
"Fernandez, Christine",MDC 641 | Clinical Connections &amp; Comp 4
"Fernandez, Christine",RPSY 606 | Community Psychiatry Advanced Clinical Care Elective
"Fernandez, Claudia",LCSL 502 | Theoretical and Research Foundations of Communicative Language Teaching
"Fernandez, Claudia",SPAN 101 | Elementary Spanish I
"Fernandez, Claudia",SPAN 399 | Independent Study
"Fernandez, Claudia",SPAN 596 | Independent Study
"Fernandez, Lilia",HIST 289 | Latina/o History
"Fernandez, Lilia",HIST 399 | Independent Study: Special Topics
"Fernandez, Lilia",HIST 500 | Colloquium on the Teaching of History
"Fernandez, Lilia",HIST 591 | Preliminary Examination and Dissertation Prospectus Preparation
"Fernandez, Lilia",HIST 596 | Independent Study
"Fernandez, Lilia",LALS 289 | Latina/o History
"Fernandez, Lilia",LALS 299 | Independent Study
"Fernandez, Lilia",LALS 499 | Advanced Independent Study
"Fernandez, Stephanie",SPED 448 | Topics in Special Education
"Fernando, Rashen",ECE 115 | Introduction to Electrical and Computer Engineering
"Fernhall, Bo",KN 599 | Ph.D. Thesis Research
"Ferrans, Carol",NUEL 596 | Independent Study: Graduate
"Ferrans, Carol",NUPR 593 | Research Practicum
"Ferrone, Felicia",DES 230 | Industrial Design II
"Ferrone, Felicia",DES 355 | Design Seminar
"Ferrone, Felicia",DES 410 | Senior Design Colloquium I
"Ferrone, Felicia",DES 411 | Senior Design Colloquium II
"Ferrone, Felicia",DES 420 | DTL I
"Ferrone, Felicia",DES 421 | DTL II
"Ferrone, Felicia",DES 421 | EXD I
"Fess, Kara",RELE 621 | Foundations in Rural Family and Community Medicine I
"Fess, Kara",RELE 665 | Foundations in Rural Family and Community Medicine II
"Fess, Kara",RELE 666 | Interface Between Family Medicine and Community
"Feurer, Cope",PSCH 396 | Directed Research
"Ficaro, Gina",TADR 471 | Extern: Judicial Seminar
"Ficaro, Gina",TADR 474 | Extern: Judicial Fieldwork
"Fidelis Bortolotto, Augusto",CHEM 122 | Matter and Energy
"Fidelis Bortolotto, Augusto",CHEM 123 | Foundations of Chemical Inquiry I
"Fidelis, Malgorzata",CEES 433 | Topics in Eastern European History
"Fidelis, Malgorzata",HIST 233 | East Central Europe and the Balkans: From Empires to Nation-States
"Fidelis, Malgorzata",HIST 235 | The Rise and Fall of Communism in Eastern Europe
"Fidelis, Malgorzata",HIST 399 | Independent Study: Special Topics
"Fidelis, Malgorzata",HIST 433 | Topics in Eastern European History
"Fidelis, Malgorzata",HIST 440 | Seminar: Revolution and Transi
"Fidelis, Malgorzata",HIST 596 | Independent Study
"Fidelis, Malgorzata",HIST 599 | Ph.D. Thesis Research
"Fiene, Pat",ELSI 081 | Conversation Skills
"Fiene, Pat",ELSI 082 | Discussion Skills
"Fiene, Pat",ELSI 086 | Effective Written Communication
"Fiene, Pat",ELSI 087 | Approaches to Evidence-Based Writing
"Fieser, Emma",PHIL 104 | Introduction to Political Philosophy
"Fieser, Emma",PHIL 116 | Biomedical Ethics
"Fieser, Emma",PHIL 201 | Theory of Knowledge
"Figueroa-Castro, Ivonne",LAW 485 | Immigration Law and Procedure
"Figueroa-Rivera, Raul","ED 160 | Games, Learning, and Society"
"Figueroa-Rivera, Raul","EPSY 160 | Games, Learning, and Society"
"Filindra, Alexandra",POLS 101 | Introduction to American Government and Politics
"Filindra, Alexandra",POLS 303 | Supervised Readings and Research
"Filindra, Alexandra",POLS 305 | Honors Course
"Filindra, Alexandra",POLS 497 | Directed Readings in Political Science
"Filindra, Alexandra",POLS 498 | Independent Research in Political Science
"Filindra, Alexandra",POLS 569 | Research Topics in American Politics
"Filindra, Alexandra",POLS 593 | Independent Research for Master&#39;s Degree
"Filindra, Alexandra",POLS 596 | Advanced Readings in Political Science
"Filindra, Alexandra",POLS 598 | Thesis Research
"Filindra, Alexandra",POLS 599 | Dissertation Research
"Finan, John",BME 596 | Independent Study
"Finan, John",BME 598 | Masters Thesis Research
"Finan, John",ME 293 | Special Problems
"Finan, John",ME 320 | Mechanisms and Dynamics of Machinery
"Finan, John",ME 370 | Mechanical Engineering Design
"Finan, John",ME 392 | Undergraduate Research
"Finan, John",ME 591 | Mechanical Engineering Internship
"Finan, John",ME 596 | Independent Study
"Finan, John",ME 598 | M.S. Thesis Research
"Finan, John",ME 599 | Ph.D. Thesis Research
"Finegold, Andrew",AH 273 | Visual Culture of the Ancient Andes
"Finegold, Andrew",AH 399 | Collaborative Research
"Finegold, Andrew",AH 483 | Internship
"Finegold, Andrew",AH 490 | Honors Thesis
"Finegold, Andrew",AH 492 | Readings in Art and Architecture History
"Finegold, Andrew",AH 590 | MA Paper Research
"Finegold, Andrew",AH 592 | Preliminary Examination Research
"Finegold, Andrew",AH 596 | Readings in Art and Architecture
"Finegold, Andrew",AH 598 | Master&#39;s Thesis Research
"Finegold, Andrew",AH 599 | Ph.D. Dissertation Research
"Finegold, Andrew",LALS 239 | Visual Culture of the Ancient Andes
"Fink, Anne",NUEL 399 | Independent Study: Undergraduate
"Fink, Anne",NUEL 596 | Independent Study: Graduate
"Fink, Anne",NUPR 593 | Research Practicum
"Fink, Anne",NURS 409 | Health Assessment and Communications
"Fink, Anne",NURS 419 | Pathophysiology and Pharmacology 1
"Fink, Anne",NURS 420 | Patho-Pharm 2
"Fink, Anne",NURS 448 | Leadership in Professional Nursing Practice
"Fink, Anne",NURS 521 | Advanced Physiological and Pathophysiological Principles Across the Lifespan
"Fink, Anne",NURS 592 | Preliminary Exam Preparation
"Fink, Anne",NURS 599 | PhD Thesis Research
"Fink, Margaret",HON 201 | Honors Seminar
"Finkenbine, Ryan",CLER 617 | Peoria Psychiatry Clerkship
"Finkenbine, Ryan",PELE 615 | Research-Psychiatry
"Finn, Laura",NUEL 594 | (NUPR545) PNP-AC Practicum I
"Finn, Laura",NUEL 594 | NUPR546:PedsACPracticum II
"Finn, Laura",NUEL 594 | NUPR547-PedsACPracticumIII
"Finn, Patricia",MIM 599 | Research in Molecular Biology and Immunology
"Fiore, Michael",EOHS 563 | Occupational Safety and Health Management Systems
"Firkins, Rachel",KN 130 | Stress Management
"Firkins, Rachel",KN 493 | Practicum in Undergraduate Teaching
"Fischer, David",ED 445 | Adolescence and the Schools
"Fischer, David",EPSY 371 | Human Development and Learning in the Context of Institutions
"Fischer, Heidi",OT 530 | Advanced Field Experience: Clinical Specialization in Occupational Therapy
"Fischer, Heidi",OT 531 | Advanced Field Experience in Occupational Therapy Leadership
"Fischer, Heidi",OT 532 | Advanced Field Experience: Occupational Therapy Education
"Fischer, Heidi",OT 533 | Advanced Field Experience: Occupational Therapy Scholarship
"Fischer, Heidi",OT 592 | Doctoral Project Research
"Fischer, Heidi",OT 596 | Independent Study
"Fischer, Heidi",OT 612 | Occupational Performance and Participation: Outcomes and Interventions 1
"Fischer, Heidi",OT 630 | Occupational Therapy Process: Application 1
"Fischer, Heidi",OT 631 | Occupational Performance and Participation: Outcomes and Interventions 2
"Fischer, Heidi",OT 668 | Capstone Project 1
"Fischer, Heidi",OT 678 | Capstone Project 2
"Fischer, Heidi",OT 695 | Scholarship of Practice Proseminar
"Fischer, Jacqueline",CLER 620 | Peoria Medicine Clerkship
"Fischer, Matthew",PELE 604 | Emergency Medicine
"Fisher, Gail",OT 496 | Independent Study
"Fisher, Gail",OT 530 | Advanced Field Experience: Clinical Specialization in Occupational Therapy
"Fisher, John",DES 308 | Typography III: Expression
"Fisher, John",DES 450 | Adventures in Publishing
"Fisher, John",DES 450 | Design Fail
"Fisher, John",DES 520 | Visual Identities
"Fisher, Jonathan",MDP 605 | Block 5: Digestion and Homeostasis 2
"Fisher, Liz",IPHS 650 | Applied Practice Experience
"Fitz, Sarah",NUPR 556 | EBP 4: DNP Project Planning and Implementation
"Fitz, Sarah",NUPR 557 | EBP 5: DNP Project Evaluation and Dissemination
"Fitz, Sarah",NURS 555 | EBP 3: DNP Proposal Development for Translating Evidence to Practice
"Fitz, Sarah",NUSP 534 | Management of Health and Illness I: Adult-Gerontology NP Acute Care and Primary Care
"Fitzgerald, Sean",MDP 602 | Block 2: Pathogenesis
"Fitzgibbon, Marian",HPA 591 | Grant Writing for New Investigators
"Fitzsimmons, Bill",PHYB 562 | Therapeutic Development &ndash; Clinical Trials
"Flagg, Donovan",PHYS 112 | Astronomy and the Universe
"Flamm, James",CELE 600 | Chicago Elective Clerkship
"Flamm, James",CELE 601 | Neuroanatomy Teaching Elective
"Flamm, James",CELE 601 | Research-Anatomy
"Flamm, James",CELE 601 | Special Dissection in Anatomy
"Flamm, James",CELE 601 | Special Topics-Anatomy
"Flamm, James",CELE 601 | Specialty Anatomy
"Flamm, James",CELE 601 | Tissue Biology: Basic Tissues
"Flamm, James",CELE 601 | Tissue Biology: Organ Tissues
"Flamm, James",CELE 602 | Acute/Chronic Pain Management
"Flamm, James",CELE 602 | Anesthesiology
"Flamm, James",CELE 602 | Anesthesiology II
"Flamm, James",CELE 602 | Anesthesiology III
"Flamm, James",CELE 602 | Anesthesiology IV
"Flamm, James",CELE 602 | Fundamental of Anesthesiology
"Flamm, James",CELE 602 | Research-Anesthesiology
"Flamm, James",CELE 602 | Special Topics-Anesthesiology
"Flamm, James",CELE 603 | Chicago Dermatology Elective Clerkship
"Flamm, James",CELE 603 | Dermatology
"Flamm, James",CELE 603 | Dermatology - Online
"Flamm, James",CELE 603 | Dermatology -Online
"Flamm, James",CELE 603 | Dermatology Online
"Flamm, James",CELE 603 | Fndmntls of Dermatology
"Flamm, James",CELE 603 | Research-Dermatology
"Flamm, James",CELE 603 | Special Topics-Dermatology
"Flamm, James",CELE 604 | Advanced Emerg Med- Christ
"Flamm, James",CELE 604 | Advanced Emerg Medicine
"Flamm, James",CELE 604 | Chicago Emergency Medicine Elective Clerkship
"Flamm, James",CELE 604 | Clinical Toxicology
"Flamm, James",CELE 604 | Core Emerg Medicine Elective
"Flamm, James",CELE 604 | Core Emergency Medicine
"Flamm, James",CELE 604 | Disaster Medicine
"Flamm, James",CELE 604 | Emerg Medicine Elec Emer Med 3
"Flamm, James",CELE 604 | Emerg Medicine II
"Flamm, James",CELE 604 | Emerg Medicine III
"Flamm, James",CELE 604 | Emerg Medicine IV
"Flamm, James",CELE 604 | Emergency  Medicine
"Flamm, James",CELE 604 | Emergency Medicine
"Flamm, James",CELE 604 | Emergency Medicine II
"Flamm, James",CELE 604 | Emergency Medicine III
"Flamm, James",CELE 604 | Emergency Medicine IV
"Flamm, James",CELE 604 | Emergency Ultrasound
"Flamm, James",CELE 604 | Research-Emerg Medicine
"Flamm, James",CELE 604 | Research-Emergency Medicine
"Flamm, James",CELE 604 | Special Topics -Emergency Med
"Flamm, James",CELE 604 | Special Topics-Emerg Medicine
"Flamm, James",CELE 605 | Advanced Family Medicine
"Flamm, James",CELE 605 | Better Hlth Thrgh Advocacy
"Flamm, James",CELE 605 | Fam Med Elective
"Flamm, James",CELE 605 | Fam Med Elective Clerkshp adv
"Flamm, James",CELE 605 | Fam Med Elective Occ Env med
"Flamm, James",CELE 605 | Fam Med Sub-I
"Flamm, James",CELE 605 | Fam Med Sub-Internshp
"Flamm, James",CELE 605 | Fam Med Supplemental Clinical
"Flamm, James",CELE 605 | Fam Planning and Reprod Hlth
"Flamm, James",CELE 605 | Family Medicine Elective
"Flamm, James",CELE 605 | Family Medicine Sub-I
"Flamm, James",CELE 605 | Int&#39;l Health-Family Medicine
"Flamm, James",CELE 605 | Interprofess. Reflect. Prac.
"Flamm, James",CELE 605 | Intl Hlth- am Med
"Flamm, James",CELE 605 | Longitud Clin Care-Joint Degr
"Flamm, James",CELE 605 | Occptnl &amp; Envrnmntl Medicine
"Flamm, James",CELE 605 | Occupational&amp; Environ Medicine
"Flamm, James",CELE 605 | Outpatient Family Medicine
"Flamm, James",CELE 605 | Primary Care Sports Medicine
"Flamm, James",CELE 605 | Reproductive Health in Fam Med
"Flamm, James",CELE 605 | Research- Family Med
"Flamm, James",CELE 605 | Reserach-Fam Med
"Flamm, James",CELE 605 | Special Topics-Fam Med
"Flamm, James",CELE 605 | Special Topics-Family Medicine
"Flamm, James",CELE 605 | Women&#39;s Health in Family Med
"Flamm, James",CELE 606 | ASTHMA/ALLERGY &amp; IMMUNOLOGY
"Flamm, James",CELE 606 | Advanced Immunology
"Flamm, James",CELE 606 | Advanced Medicine
"Flamm, James",CELE 606 | Ambulatory Medicine
"Flamm, James",CELE 606 | Cardiac Intensive Care
"Flamm, James",CELE 606 | Cardiology
"Flamm, James",CELE 606 | Cardiology Consult
"Flamm, James",CELE 606 | Chicago Medicine Elctive Clerkship
"Flamm, James",CELE 606 | Clinical Electrocardiography
"Flamm, James",CELE 606 | Coronary Care Unit
"Flamm, James",CELE 606 | Critical Care  Medicine
"Flamm, James",CELE 606 | Critical Care Medicine
"Flamm, James",CELE 606 | Echocardiography
"Flamm, James",CELE 606 | End of Life Care
"Flamm, James",CELE 606 | Endocrinology
"Flamm, James",CELE 606 | Gastroenterology
"Flamm, James",CELE 606 | Geriatric Medicine
"Flamm, James",CELE 606 | Hematology
"Flamm, James",CELE 606 | Hematology/Oncology
"Flamm, James",CELE 606 | Hepatology
"Flamm, James",CELE 606 | Infectious Diseases
"Flamm, James",CELE 606 | International Health-Med
"Flamm, James",CELE 606 | Intl Hlth-Medicine
"Flamm, James",CELE 606 | Med-Peds
"Flamm, James",CELE 606 | Med/Peds
"Flamm, James",CELE 606 | Medical Oncology
"Flamm, James",CELE 606 | Medicine - Online
"Flamm, James",CELE 606 | Medicine Elective Hematology
"Flamm, James",CELE 606 | Medicine Elective Spc topics
"Flamm, James",CELE 606 | Medicine Intensive Care
"Flamm, James",CELE 606 | Medicine Supplemental Clinical
"Flamm, James",CELE 606 | Nephrology (Adult)
"Flamm, James",CELE 606 | Occupational Medicine
"Flamm, James",CELE 606 | Palliative Care
"Flamm, James",CELE 606 | Palliative Medicine
"Flamm, James",CELE 606 | Primary Care Medicine
"Flamm, James",CELE 606 | Pulmonary  Medicine
"Flamm, James",CELE 606 | Pulmonary Medicine
"Flamm, James",CELE 606 | Research-Medicine
"Flamm, James",CELE 606 | Rheumatology
"Flamm, James",CELE 606 | Sleep Medicine
"Flamm, James",CELE 606 | Special Topics-Medicine
"Flamm, James",CELE 606 | Survey of Medical Informatics
"Flamm, James",CELE 606 | Survey of Medicial Infomatics
"Flamm, James",CELE 606 | Transplant Nephrology
"Flamm, James",CELE 607 | M3 Neurology Clerkship
"Flamm, James",CELE 607 | Neurology
"Flamm, James",CELE 607 | Neurology - Online
"Flamm, James",CELE 607 | Pediatric Neurology
"Flamm, James",CELE 607 | Research- Neurology
"Flamm, James",CELE 607 | Research-Neurology
"Flamm, James",CELE 607 | Special Topics- Neurology
"Flamm, James",CELE 607 | Special Topics-Neurology
"Flamm, James",CELE 608 | Neurosurgery
"Flamm, James",CELE 608 | Research-Neurosurgery
"Flamm, James",CELE 608 | Special Topics-Neurosurgery
"Flamm, James",CELE 609 | FEMALE PELVIC MED&amp;RECON SURG
"Flamm, James",CELE 609 | Female Pelvic Med &amp; Recon Surg
"Flamm, James",CELE 609 | GYNECOLOGY SUB-I
"Flamm, James",CELE 609 | Gynecologic Oncology
"Flamm, James",CELE 609 | Gynecology Sub-Internship
"Flamm, James",CELE 609 | Int&#39;l Health-ObGyne
"Flamm, James",CELE 609 | Intl Hlth-ObGyne
"Flamm, James",CELE 609 | Mat-Fet Med (A) Anteprtm Tract
"Flamm, James",CELE 609 | Mat-Fet Med(A) Anteprtm Tract
"Flamm, James",CELE 609 | Maternal-Fetal Medicine
"Flamm, James",CELE 609 | Medicine Supplemental Clinical
"Flamm, James",CELE 609 | OB/Gyne Sub-Internship
"Flamm, James",CELE 609 | ObGyne Sub-I
"Flamm, James",CELE 609 | ObGyne Sup Clinical Experience
"Flamm, James",CELE 609 | Reproductive Endocrinology
"Flamm, James",CELE 609 | Research Ob/Gyne
"Flamm, James",CELE 609 | Research-ObGyne
"Flamm, James",CELE 609 | Special Topics-ObGyne
"Flamm, James",CELE 609 | Women&#39;s Health
"Flamm, James",CELE 610 | Ophthalmology
"Flamm, James",CELE 610 | Ophthalmology Online
"Flamm, James",CELE 610 | Research-Ophthalmology
"Flamm, James",CELE 610 | Special Topics-Ophthalmology
"Flamm, James",CELE 611 | Chicago Orthopaedics Elective Clerkship
"Flamm, James",CELE 611 | Orthopaedic Surgery
"Flamm, James",CELE 611 | Orthopaedics
"Flamm, James",CELE 611 | Orthopaedics II
"Flamm, James",CELE 611 | Orthopaedics III
"Flamm, James",CELE 611 | Orthopaedics IV
"Flamm, James",CELE 611 | Orthopaedics Surgery
"Flamm, James",CELE 611 | Research-Orthopaedics
"Flamm, James",CELE 611 | Special Topics-Orthopaedics
"Flamm, James",CELE 611 | Sports Medicine
"Flamm, James",CELE 612 | Chicago Otolaryngology Elective Clerkship
"Flamm, James",CELE 612 | Head &amp; Neck Surgery
"Flamm, James",CELE 612 | Otolaryngology
"Flamm, James",CELE 612 | Otolaryngology Sub-Internship
"Flamm, James",CELE 612 | Research-Otolaryngology
"Flamm, James",CELE 612 | Research-Otolaryngology E
"Flamm, James",CELE 612 | Spec Topics-Otolaryngology
"Flamm, James",CELE 612 | Special Topics-Otolaryngology
"Flamm, James",CELE 613 | Chicago Pathology Elective Clerkship
"Flamm, James",CELE 613 | Clinical Path/Lab Medicine
"Flamm, James",CELE 613 | Forensic Pathology
"Flamm, James",CELE 613 | Research- Pathology
"Flamm, James",CELE 613 | Research-Pathology
"Flamm, James",CELE 613 | Special Topics- Pathology
"Flamm, James",CELE 613 | Surgical Pathology
"Flamm, James",CELE 613 | special Topics-Pathology
"Flamm, James",CELE 614 | (NICU)Pediatric Sub-Internship
"Flamm, James",CELE 614 | (PICU)Pediatric Sub-Internship
"Flamm, James",CELE 614 | Adolescent Medicine
"Flamm, James",CELE 614 | Breastfeeding Medicine
"Flamm, James",CELE 614 | Chicago Pediatrics Elective Clerkship
"Flamm, James",CELE 614 | Genetics
"Flamm, James",CELE 614 | Int&#39;l Health- Pediatrics
"Flamm, James",CELE 614 | Intl Hlth-Pediatrics
"Flamm, James",CELE 614 | NICU Sub-Internship
"Flamm, James",CELE 614 | Neonatology
"Flamm, James",CELE 614 | Pediatric Cardiology
"Flamm, James",CELE 614 | Pediatric Critical Care
"Flamm, James",CELE 614 | Pediatric Development
"Flamm, James",CELE 614 | Pediatric Emergency Medicine
"Flamm, James",CELE 614 | Pediatric Endocrinlogy
"Flamm, James",CELE 614 | Pediatric Gastroenterology
"Flamm, James",CELE 614 | Pediatric Hematology/Oncology
"Flamm, James",CELE 614 | Pediatric Infectious Diseases
"Flamm, James",CELE 614 | Pediatric Nephrology
"Flamm, James",CELE 614 | Pediatric Neurology
"Flamm, James",CELE 614 | Pediatric Surgery (Peds)
"Flamm, James",CELE 614 | Pediatrics Cardiology
"Flamm, James",CELE 614 | Pediatrics Critical Care
"Flamm, James",CELE 614 | Pediatrics Hematology/Oncology
"Flamm, James",CELE 614 | Pediatrics Infectious Diseases
"Flamm, James",CELE 614 | Pediatrics Nephrology
"Flamm, James",CELE 614 | Pediatrics Supplemental Clinic
"Flamm, James",CELE 614 | Pediatrics Surgery
"Flamm, James",CELE 614 | Pulmonary/Allergy-Immunology
"Flamm, James",CELE 614 | Research- Pediatrics
"Flamm, James",CELE 614 | Research-Pediatrics
"Flamm, James",CELE 614 | Special Topics- Pediatrics
"Flamm, James",CELE 614 | Special Topics-Pediatrics
"Flamm, James",CELE 614 | The Craniofacial Center
"Flamm, James",CELE 615 | Addiction Medicine Psychiatry
"Flamm, James",CELE 615 | Addiction Psych Treatment Pgm
"Flamm, James",CELE 615 | Addictn Psy Consult/Lias Servc
"Flamm, James",CELE 615 | Alcohol Depend &amp; Subst Abuse
"Flamm, James",CELE 615 | Child Psychiatry
"Flamm, James",CELE 615 | Consultation-Liason Psychiatry
"Flamm, James",CELE 615 | General Psychiatry
